Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,53.93000031,54.54899979,54.28099823,56.96900177,56.84500122,55.72399902,55.43000031,55.60100174,56.21699905,55.95700073,55.90499878,56.09999847,56.32300186,53.92200089,55.26300049,55.98400116,57.02700043,57.68500137,57.24599838,57.48899841,57.73199844,57.80099869,57.67300034,57.27899933,57.24700165,57.53099823,57.85300064,58.39400101,58.60499954,57.51300049
Azerbaijan,AZE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,72.14399719,73.16699982,73.10099792,73.5039978,73.89800262,73.15899658,71.99099731,70.61399841,69.43900299,68.0530014,66.9509964,65.88700104,64.87999725,64.02999878,63.43399811,62.54600143,62.77799988,62.42399979,61.31600189,61.1609993,60.91899872,60.93399811,61.33200073,61.85599899,62.27000046,62.9469986,63.26100159,63.56499863,63.27500153,58.72800064
Burundi,BDI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,88.43900299,87.88200378,87.28900146,86.6989975,86.06300354,85.41100311,84.75099945,84.05999756,83.69300079,83.33699799,82.98200226,82.61799622,82.22399902,81.85700226,81.45400238,81.06800079,80.65599823,80.2460022,79.83799744,79.42900085,79.00499725,78.57900238,78.14499664,77.7009964,77.68800354,77.7009964,77.70200348,77.69599915,77.68000031,76.84899902
Belgium,BEL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,45.82600021,46.30500031,45.7120018,45.47299957,45.81999969,45.63100052,45.99300003,46.11100006,47.41999817,48.84400177,47.74499893,47.65299988,47.40599823,48.20100021,48.80099869,48.72800064,49.59199905,49.93299866,49.24100113,49.58800125,49.40200043,49.23500061,49.04499817,48.95100021,48.78900146,48.95100021,50.02299881,50.9659996,51.47499847,50.84199905
Benin,BEN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,71.09999847,71.06999969,71.09999847,71.09999847,71.13400269,71.14499664,71.16699982,71.17900085,71.2009964,71.22100067,71.23799896,71.25499725,71.23699951,71.22399902,71.2009964,71.19100189,71.18000031,71.16000366,71.13600159,71.11799622,69.97499847,70.07099915,70.16300201,70.23000336,70.27300262,70.36100006,70.44599915,70.51899719,70.46199799,69.71199799
Burkina Faso,BFA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,81.76899719,81.13999939,80.54799652,79.91400146,79.3030014,78.6760025,77.98500061,77.29799652,76.51599884,75.69100189,74.89199829,74.04499817,73.20500183,71.91100311,70.64800262,70.05200195,69.50299835,68.59999847,67.66200256,66.7539978,65.79599762,64.83499908,63.86100006,62.87200165,62.75,62.64300156,62.52099991,62.39699936,62.34600067,61.6230011
Bangladesh,BGD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.69400024,57.58399963,57.55400085,57.53699875,57.47999954,57.39300156,57.22999954,57.0530014,56.90599823,56.7159996,56.43099976,56.18899918,55.86600113,55.81900024,55.73899841,55.98500061,55.48500061,55.04199982,54.60499954,55.34500122,54.93000031,54.54199982,54.17499924,54.01200104,53.83200073,53.65000153,55.78099823,55.77399826,55.74700165,53.64400101
Bulgaria,BGR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.55500031,48.42300034,47.0719986,48.34199905,48.50999832,46.98199844,45.58100128,45.60200119,43.86000061,42.04100037,41.13700104,41.61600113,43.06600189,44.4640007,44.68099976,46.70000076,48.98099899,50.79100037,49.40399933,47.90200043,46.59700012,46.56700134,46.92499924,47.95700073,49.12799835,49.29299927,51.93999863,52.43799973,54.18700027,52.70600128
Bahrain,BHR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,64.55899811,65.01100159,65.03700256,64.97399902,64.99199677,65.08999634,65.08300018,65.08899689,65.08399963,65.18599701,64.98200226,65.71499634,66.4509964,67.16799927,67.8710022,68.56600189,69.26200104,69.92900085,70.57700348,71.2460022,70.2009964,70.31900024,70.46199799,70.58799744,70.70999908,70.80000305,70.93299866,71.17900085,71.41100311,68.68399811
"Bahamas, The",BHS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,63.37200165,61.93199921,63.92200089,63.56800079,65.89700317,65.2539978,67.58999634,70.05899811,71.07800293,70.99299622,70.96499634,69.48600006,67.7990036,67.96099854,67.56099701,69.14499664,68.47100067,67.8239975,62.94100189,62.48500061,61.92200089,64.05500031,60.93700027,62.66199875,63.96099854,63.43799973,65.51999664,65.38999939,65.36599731,57.55599976
Bosnia and Herzegovina,BIH,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,38.38499832,38.20700073,37.76499939,36.90200043,36.14099884,35.45199966,34.90999985,34.29399872,33.55699921,33,32.43899918,31.80699921,31.28899956,30.62199974,29.87000084,29.39500046,30.83699989,33.20899963,32.78699875,32.09999847,31.61899948,31.52400017,31.41900063,31.47800064,31.73699951,32.11100006,33.60800171,34.19900131,35.24200058,36.07600021
Belarus,BLR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.68199921,56.72100067,53.95299911,52.02899933,49.64400101,45.45500183,49.2859993,50.7159996,51.24700165,51.86000061,52.57600021,53.25899887,53.90800095,54.51200104,55.27299881,55.97900009,56.72900009,57.42900085,58.31399918,58.52600098,58.88600159,59.26399994,59.59700012,59.90800095,60.30899811,60.61100006,60.79000092,61.45800018,61.67100143,60.99399948
Belize,BLZ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.24200058,50.55599976,50.64599991,49.84600067,49.90299988,49.95199966,51.43099976,50.29999924,51.68600082,53.08100128,54.36000061,53.99599838,54.0909996,54.09600067,54.11299896,55.2519989,56.00600052,56.42599869,56.59999847,56.82099915,57.01100159,57.21300125,57.40000153,58.25799942,59.02899933,59.75299835,59.80400085,59.78099823,59.67900085,55.54600143
Bolivia,BOL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,67.44999695,67.19300079,67.51699829,67.75900269,68.23000336,68.66300201,69.19000244,69.05500031,68.73200226,68.67700195,68.99500275,69.3789978,69.73400116,70.14199829,70.49299622,70.84700012,69.97799683,69.94300079,69.97799683,70.16600037,70.36000061,67.19999695,67.60900116,69.9280014,64.9940033,65.0019989,66.125,69.27300262,67.98000336,59.36600113
Brazil,BRA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.35699844,57.66699982,58.28099823,58.56800079,58.77999878,56.72000122,56.89799881,56.27099991,56.24700165,57.14400101,57.59899902,58.39599991,57.95100021,59.1629982,59.44200134,59.70700073,59.63399887,60.12099838,59.52899933,59.26699829,58.40100098,57.99700165,57.9980011,58.00099945,56.99300003,54.86999893,54.36500168,54.57500076,55.14099884,49.43799973
Barbados,BRB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.41400146,50.95199966,50.40599823,51.96500015,54.75999832,57.14400101,57.82600021,59.36700058,60.63299942,62.27299881,62.69900131,61.42200089,61.63299942,63.01200104,63.24399948,61.94499969,62.77600098,62.12900162,60.25099945,59.47999954,60.02700043,58.51900101,59.00500107,56.10599899,57.69200134,60.04100037,58.82099915,58.28099823,57.06100082,53.18000031
Brunei Darussalam,BRN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,62.48799896,62.61199951,62.86600113,62.95999908,63.08300018,63.27399826,63.52899933,63.65999985,63.71900177,63.87099838,64.01899719,63.76900101,63.57699966,63.42499924,63.20999908,62.87400055,62.77999878,62.6230011,62.40000153,62.04800034,61.79100037,61.25,60.70999908,60.08499908,58.99200058,58.04299927,56.88399887,59.70100021,59.95299911,58.89699936
Bhutan,BTN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,69.56999969,69.36799622,69.21600342,69.01699829,68.82499695,68.82099915,68.83000183,68.84999847,68.88300323,68.79299927,68.63400269,68.70600128,68.83599854,68.40000153,67.9980011,67.86799622,67.35600281,67.27100372,66.94000244,65.88700104,65.21299744,63.04100037,63.42599869,60.96300125,61.5929985,61.4129982,61.2820015,61.11999893,60.89699936,57.31600189
Botswana,BWA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.84799957,49.27199936,47.7140007,46.15800095,45.91699982,45.66600037,45.76499939,45.7820015,47.10100174,48.31900024,46.98300171,45.67399979,44.30799866,45.63600159,47.0019989,48.38600159,49.65499878,50.92100143,52.13399887,48.56900024,48.34199905,48.1269989,47.95999908,47.70899963,47.4620018,47.2859993,47.06200027,46.85599899,46.6269989,45.58300018
Central African Republic,CAF,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,67.62799835,67.5719986,67.53399658,67.51000214,67.4940033,67.47200012,67.45600128,67.48500061,67.49299622,67.51699829,67.48799896,67.43000031,67.42500305,67.49299622,67.5039978,67.5739975,67.65000153,67.77700043,67.77899933,67.64600372,67.76300049,67.87799835,67.94799805,67.97299957,67.94000244,67.85299683,67.78800201,67.74199677,67.64800262,66.38899994
Canada,CAN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,59.70899963,58.34199905,57.90399933,58.38299942,58.66899872,58.44900131,58.96699905,59.73699951,60.56299973,61.26900101,61.15100098,61.73899841,62.44599915,62.63700104,62.60100174,62.7840004,63.36700058,63.41199875,61.49499893,61.51699829,61.70000076,61.65200043,61.76100159,61.43000031,61.29000092,61.11000061,61.5909996,61.59700012,61.99100113,57.9640007
Central Europe and the Baltics,CEB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,56.23762292,55.67439348,54.12384357,53.45383191,53.05062608,52.57502524,53.03679203,52.79304502,51.68955618,50.36157357,49.65746604,48.03050166,47.82884377,47.69756941,47.98159288,49.07828451,50.37758999,51.24562141,50.36069579,49.79563994,49.71690124,49.9891275,50.09540183,51.10483505,51.80906399,52.51523024,53.76308688,54.38983224,54.76241842,54.21062812
Switzerland,CHE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,67.21199799,66.3710022,65.68199921,64.73699951,64.81700134,65.13999939,64.58799744,65.54199982,65.72200012,65.57099915,66.11199951,65.74299622,65.05500031,64.36399841,64.0059967,64.65599823,65.16200256,65.90599823,65.42900085,63.7840004,64.48200226,64.49500275,64.33200073,64.62999725,64.8789978,65.19599915,65.15499878,65.25499725,65.23500061,64.59899902
Channel Islands,CHI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,54.28300095,53.94499969,53.23600006,53.08300018,53.41500092,53.59400177,53.76100159,54.1590004,54.50600052,54.81200027,55.7859993,55.95000076,56.06499863,55.79100037,55.7859993,55.74300003,55.84799957,56.27899933,55.65599823,55.05699921,54.84199905,54.43600082,54.13499832,54.32400131,54.66999817,55.07600021,55.53300095,55.97200012,56.13700104,54.84700012
Chile,CHL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,50.43500137,51.90299988,52.35699844,51.96699905,53.39699936,52.43399811,52.57699966,52.60200119,50.32799911,50.04499817,49.29399872,48.9659996,49.65399933,49.77099991,50.5340004,51.74900055,52.51499939,53.11100006,51.75099945,53.7120018,55.54999924,55.71500015,56.02099991,55.97600174,55.95399857,55.60200119,55.72200012,55.51399994,55.23699951,49.11700058
China,CHN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,77.0719986,76.84899902,76.3730011,75.98200226,75.67700195,75.35500336,75.03900146,74.80000305,74.55899811,74.31600189,73.375,72.50700378,71.70999908,71.23000336,70.65200043,70.15399933,69.63999939,68.88600159,68.20500183,67.7460022,67.83599854,67.58399963,67.33999634,67.21199799,67.0739975,66.91500092,66.65299988,66.43000031,66.01499939,64.83699799
Cote d'Ivoire,CIV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,61.17200089,61.06499863,61.55400085,62.03900146,62.5379982,62.5379982,62.51300049,62.4980011,61.90299988,61.30500031,60.72700119,60.13299942,59.54600143,58.96900177,58.38199997,57.79199982,57.20299911,56.61700058,56.02999878,55.43299866,54.80899811,54.29999924,55.56900024,55.41400146,55.25400162,55.08499908,54.22700119,54.15599823,54.0870018,53.47900009
Cameroon,CMR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,77.04399872,76.95200348,76.79199982,76.76000214,76.62799835,76.49900055,76.5719986,76.6190033,76.66600037,76.70700073,76.78500366,77.38400269,77.98899841,78.60700226,79.18699646,79.72899628,80.26599884,78.02899933,75.63500214,73.09700012,73.1989975,73.29699707,73.39399719,73.48400116,73.44100189,73.39499664,73.34200287,73.28800201,73.22499847,72.3789978
"Congo, Dem. Rep.",COD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,70.25099945,70.27700043,70.29399872,70.3219986,70.31999969,70.35099792,70.35900116,70.36699677,70.35399628,70.34300232,70.37799835,70.40599823,70.42500305,70.43800354,70.44300079,69.4240036,68.39399719,67.35099792,66.28700256,65.23000336,64.15200043,63.06499863,63.08399963,63.09199905,63.08100128,63.07400131,63.06800079,63.05099869,63.01399994,61.40200043
"Congo, Rep.",COG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,54.79700089,54.74700165,54.67300034,54.59700012,54.60300064,54.56700134,54.50600052,54.50099945,54.43999863,54.47200012,54.44900131,54.44800186,54.42399979,54.43999863,54.47200012,54.42100143,54.29499817,54.32300186,54.30699921,54.2480011,54.21099854,54.24700165,54.17100143,54.18600082,54.09400177,54.0019989,53.97600174,53.90200043,53.84999847,50.70399857
Colombia,COL,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,59.9679985,60.61899948,62.04600143,62.11299896,62.11000061,60.03099823,59.95899963,57.9070015,53.95399857,53.7519989,57.46699905,56.95600128,58.52399826,57.53900146,58.11299896,57.67900085,56.73099899,57,59.04499817,60.31999969,61.54800034,62.64899826,62.78300095,63.22399902,63.71300125,63.06800079,62.77899933,62.15999985,60.75899887,53.27000046
Comoros,COM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,40.13899994,40.17900085,40.15599823,40.11000061,40.0929985,40.03900146,39.99900055,39.93000031,39.86000061,39.79999924,39.7159996,39.64300156,39.56499863,39.48899841,39.63600159,39.77799988,39.91400146,40.06299973,40.19800186,40.33499908,40.47000122,40.59799957,40.73300171,40.84999847,40.79600143,40.76599884,40.7179985,40.6570015,40.5870018,39.18799973
Cabo Verde,CPV,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,53.89300156,53.91400146,53.89699936,53.90499878,53.85200119,53.75999832,53.65299988,53.52500153,53.36700058,53.19900131,53.00999832,52.84700012,52.66400146,52.50799942,52.3429985,52.33499908,52.36399841,52.36100006,52.36199951,52.38899994,52.21300125,52.06700134,51.9679985,51.89699936,51.8390007,51.77899933,51.72399902,48.68099976,50.24200058,44.8769989
Costa Rica,CRI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,53.4659996,53.47299957,54.30699921,54.71099854,55.02399826,52.52199936,54.82799911,56.50899887,56.16799927,55.87900162,57.42599869,56.81100082,57.00799942,55.97900009,57.99200058,58.17699814,59.77000046,59.16999817,56.75799942,54.96500015,52.91899872,56.40599823,56.43500137,56.50999832,55.35499954,52.81999969,53.47200012,54.43000031,55.15100098,48.49700165
Caribbean small states,CSS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,53.04695033,52.78788297,52.56463925,53.11692053,53.38034979,53.36961828,53.39309353,53.68635106,53.46932788,53.62721416,53.64261427,53.64039128,54.20283387,55.72142033,56.3708084,57.18312972,57.54401768,57.51232734,56.02519738,55.11040414,54.8603902,54.67124197,54.67304429,55.1825006,55.27402839,55.8285016,56.40011539,56.63184884,57.21655096,53.41355491
Cuba,CUB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,48.65999985,48.11500168,47.4109993,47.49200058,47.49599838,48.0909996,48.43899918,48.88299942,49.06999969,49.69100189,50.51399994,50.96099854,51.60900116,52.06800079,52.41400146,52.86700058,53.20000076,53.47200012,54.67100143,53.625,53.81299973,53.76200104,53.95100021,54.31200027,54.63899994,54.87900162,55.11399841,55.20000076,55.20199966,52.14400101
Cyprus,CYP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.98799896,58.04100037,57.80099869,57.92300034,58.10499954,57.9280014,57.86899948,58.04999924,56.72700119,57.2840004,59.23500061,59.81900024,60.55500031,60.31000137,59.84999847,60.65499878,61.86600113,61.86600113,60.31399918,60.24700165,58.72999954,55.94499969,53.25400162,53.49300003,53.00299835,53.32699966,54.81999969,57.17699814,58.50899887,57.94100189
Czech Republic,CZE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,60.02000046,59.82300186,58.76699829,58.97000122,59.03699875,58.85800171,58.09899902,57.02500153,55.4640007,54.79899979,54.875,55.2859993,54.76399994,54.12900162,54.67100143,55.0320015,55.64300156,55.93199921,54.77199936,54.18600082,54.35100174,54.54700089,55.15999985,55.68600082,56.41899872,57.5530014,58.47999954,59.20299911,59.16600037,58.26499939
Germany,DEU,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,56.25899887,55.01800156,53.83200073,53.08300018,53.00999832,52.52899933,51.98400116,52.03300095,52.74300003,52.9090004,53.01399994,52.41400146,51.7140007,50.76800156,51.89400101,52.91699982,54.02799988,54.78499985,54.79299927,55.23199844,56.5929985,56.83800125,57.19400024,57.40200043,57.38999939,58.49599838,58.91500092,59.20899963,59.97600174,59.25299835
Djibouti,DJI,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,25.58699989,25.57999992,25.46999931,25.42000008,25.375,25.30400085,25.28499985,25.27799988,25.25499916,25.17099953,25.13999939,25.07699966,24.98600006,24.88999939,24.79899979,24.63599968,24.46999931,24.31100082,24.1439991,24.02000046,23.9810009,23.94000053,23.92000008,23.90800095,23.88299942,23.88299942,23.86000061,23.74200058,23.61899948,22.51399994
Denmark,DNK,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,61.6570015,61.95999908,60.14799881,59.20399857,60.09400177,60.74000168,61.90599823,61.89500046,62.41799927,62.60400009,62.43999863,62.8370018,61.94400024,62.5019989,62.47900009,63.35900116,63.21300125,62.68500137,60.26300049,58.57899857,58.15100098,57.45000076,56.88700104,57.01499939,57.46900177,57.95700073,58.12200165,58.64899826,59.23899841,58.52199936
Dominican Republic,DOM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,53.26900101,53.67699814,53.83200073,53.80899811,53.96500015,54.10800171,54.375,54.52399826,54.65999985,54.7480011,53.12099838,53.66699982,52.70000076,53.26800156,52.88899994,54.06299973,54.25799942,54.84899902,52.43600082,53.75500107,54.61800003,55.43600082,54.91400146,55.52999878,57.29100037,57.90399933,58.73400116,60.03300095,61.04399872,56.65100098
Algeria,DZA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,35.05199814,33.47499847,32.89699936,32.41799927,30.60400009,32.10400009,33.29499817,32.54700089,31.62599945,30.78899956,31.67700005,32.0870018,32.82699966,35.21900177,36.00999832,37.05099869,36.17900085,36.97499847,37.22100067,37.55599976,36.15100098,37.39300156,38.95800018,36.94900131,37.0340004,37.59899902,37.51699829,37.4469986,37.41199875,34.86999893
East Asia & Pacific (excluding high income),EAP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,74.57035146,74.46016952,74.0088179,73.70142377,73.44519086,73.19955892,72.82249375,72.49386362,72.20747999,72.08266436,71.3654805,70.57794074,69.93904837,69.52591563,68.96056741,68.59992069,68.44744391,67.97292144,67.54919376,67.32261356,67.56452478,67.44980161,67.13215077,67.04691735,66.84352872,66.62130977,66.32522519,66.25731021,66.01443373,64.65883615
Early-demographic dividend,EAR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,56.15296511,56.09704101,55.85171668,55.83920617,55.50378312,55.494704,55.55601275,55.47323693,55.30241841,55.16805938,55.02449627,54.71465985,54.7573412,54.92674095,54.91616507,54.67330513,54.48435091,54.1576404,53.68660929,53.49072042,53.14871774,52.84845339,52.54073772,52.22964755,51.95710848,51.71415419,51.55363287,51.37250553,51.50464508,48.04680638
East Asia & Pacific,EAS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,72.75543157,72.67160965,72.24872513,71.99845997,71.77784739,71.57355303,71.2667078,70.80822924,70.51400398,70.45012272,69.79075477,69.06673543,68.48464559,68.16794927,67.71003381,67.4294046,67.32828188,66.88980267,66.404851,66.20292941,66.44542695,66.35235181,66.11386899,66.08491956,65.93522621,65.778155,65.5744721,65.59568632,65.42826558,64.15069091
Europe & Central Asia (excluding high income),ECA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,59.46103304,59.32805852,57.69015768,56.34809302,55.24409934,54.08144167,52.84498633,51.76448494,52.65063477,52.90433557,52.68028266,52.62185958,52.24207006,52.11247382,52.36212189,52.51235309,53.30231601,53.52267315,52.51550849,52.99870591,53.57456244,53.90638999,53.95265893,53.95092717,53.9848165,54.08887484,54.35810134,54.57390454,54.22754183,52.51837009
